,hora,temp_inst,umid_inst,vento_rajada,diff_wind
661,12,28.0,56,9.1,5.199999999999999
662,11,26.4,66,9.6,6.3999999999999995
663,10,25.3,71,6.3,3.5
664,9,24.0,75,5.4,3.2
665,8,24.3,78,5.4,3.4000000000000004
666,7,24.9,78,6.8,4.699999999999999
667,6,25.7,74,7.6,5.3999999999999995
668,5,26.1,72,9.0,7.0
669,4,26.4,77,7.8,4.0
670,3,26.8,77,7.6,4.8999999999999995
671,2,27.0,77,7.4,5.6000000000000005
672,23,25.2,81,4.5,2.7
673,22,25.2,80,8.7,7.1
674,21,24.8,81,10.0,6.3
675,20,27.6,71,9.8,6.000000000000001
676,19,28.7,60,10.2,6.3999999999999995
677,18,30.4,51,11.2,6.3999999999999995
678,17,31.0,50,8.6,4.6
679,16,31.1,50,11.4,7.800000000000001
680,15,31.0,49,12.3,7.6000000000000005
681,14,29.0,55,9.9,6.300000000000001
682,13,28.9,60,9.5,6.7
683,12,27.8,63,9.2,5.6
684,11,26.1,66,7.5,4.5
685,10,24.3,73,5.8,3.3
686,9,23.1,79,5.4,2.4000000000000004
687,8,23.3,81,5.0,2.6
688,7,23.5,85,3.4,1.9
689,6,23.8,86,3.8,2.1999999999999997
690,5,24.2,86,3.4,2.0
691,4,25.0,82,4.4,3.2
692,3,25.8,80,5.2,3.3000000000000003
693,2,25.9,79,4.9,2.8000000000000003
694,1,26.1,81,5.0,3.2
695,0,26.1,81,5.0,3.3
696,15,30.6,54,9.2,4.799999999999999
697,21,26.9,76,10.2,5.499999999999999
698,20,27.6,73,9.9,5.4
